,group_code,food_group,cod_item,food_description,group_eng,desc_eng
63,1,Cereais,8510701,SALADA DE ARROZ,Cereals,RICE SALAD
64,1,Cereais,8579032,ARROZ COM NOZES / CASTANHA / BARU,Cereals,RICE WITH NUTS / CHESTNUT / BARU
65,2,Leguminosas,6303102,"FEIJAO (PRETO, MULATINHO, ROXO, ROSINHA, ETC)",Legumes,"BEANS (BLACK, MULATINHO, PURPLE, ROSINHA, ETC)"
66,2,Leguminosas,8570107,ARROZ COM FEIJAO,Legumes,RICE AND BEANS
67,2,Leguminosas,6301603,FEIJAO DE CORDA,Legumes,ROPE BEANS
68,2,Leguminosas,8506101,FEIJAO TROPEIRO,Legumes,TROPEIRO BEANS
69,2,Leguminosas,6301634,FEIJAO VERDE,Legumes,GREEN BEAN
70,2,Leguminosas,6302801,GRAO DE BICO,Legumes,CHICKPEA
71,2,Leguminosas,6302901,LENTILHA,Legumes,LENTIL
72,2,Leguminosas,8503501,BAIAO DE DOIS,Legumes,BAIAO DE TWO
73,2,Leguminosas,6503605,CARNE DE SOJA,Legumes,SOY MEAT
74,2,Leguminosas,7701901,FEIJOADA,Legumes,BEAN STEW
75,2,Leguminosas,8579286,VIRADO,Legumes,TURNED
76,2,Leguminosas,8581901,FEIJAO COM CARNES,Legumes,BEANS WITH MEAT
77,2,Leguminosas,8581903,FEIJAO COM LINGUICA,Legumes,BEANS WITH LANGUAGE
78,2,Leguminosas,6502501,FIBRA DE SOJA,Legumes,SOY FIBER
79,2,Leguminosas,6505601,PROTEINA DE SOJA,Legumes,SOY PROTEIN
80,2,Leguminosas,6505603,PROTEINA VEGETAL,Legumes,VEGETABLE PROTEIN
81,2,Leguminosas,6303001,SOJA EM GRAO,Legumes,SOYA IN GRAIN
82,2,Leguminosas,8507001,TUTU,Legumes,TUTU
83,2,Leguminosas,6301201,FAVA EM GRAO,Legumes,FAVA IN GRAO
84,2,Leguminosas,8507201,MANICOBA,Legumes,MANIÇOBA
85,2,Leguminosas,8581902,FEIJAO COM BACON,Legumes,BEANS WITH BACON
86,2,Leguminosas,8579133,DOBRADINHA COM FEIJAO BRANCO,Legumes,DOBRADINHA WITH WHITE BEANS
87,2,Leguminosas,6503601,BIFE VEGETAL,Legumes,VEGETABLE STEAK
88,2,Leguminosas,7702102,PUCHERO,Legumes,PUCHERO
89,2,Leguminosas,8505501,ARRUMADINHO,Legumes,WELL DRESSED
90,2,Leguminosas,7700201,ERVILHA EM CONSERVA,Legumes,CONSERVED PEA
91,2,Leguminosas,6301101,ERVILHA EM GRAO,Legumes,PEA IN GRAO
92,2,Leguminosas,8581904,FEIJOADA DE FRUTOS DO MAR,Legumes,SEAFOOD BEANS
93,2,Leguminosas,8579173,LENTILHA COM BACON,Legumes,LENTIL WITH BACON
94,2,Leguminosas,8579174,LENTILHA COM LINGUICA,Legumes,LENTIL WITH LANGUAGE
95,2,Leguminosas,8503502,RUBACAO,Legumes,RUBATION
96,2,Leguminosas,8511003,SALADA DE GRAO-DE-BICO,Legumes,CHICKPEA SALAD
97,2,Leguminosas,6705501,ERVILHA EM VAGEM,Legumes,PEA IN POD
98,2,Leguminosas,6302602,ANDU,Legumes,ANDU
99,2,Leguminosas,8503208,MOCOTO BOVINO COM FEIJAO BRANCO,Legumes,BOVINE MOCOTO WITH WHITE BEANS
100,2,Leguminosas,8511001,SALADA DE FEIJAO FRADINHO,Legumes,FRADINHO BEANS SALAD
101,2,Leguminosas,8511301,SALADA DE LENTILHAS,Legumes,LENTILS SALAD
102,2,Leguminosas,8581603,STROGONOFF / ESTROGONOFE DE CARNE DE SOJA,Legumes,STROGONOFF / SOY BEEF STROGONOF
103,2,Leguminosas,7903402,TOFU,Legumes,TOFU
104,2,Leguminosas,8505503,ARRUMADINHO DE CARNE SECA,Legumes,ARRUMADINHO CARNE SECA
105,2,Leguminosas,7702001,FEIJAO BRANCO COM DOBRADINHA EM CONSERVA,Legumes,WHITE BEANS WITH FOLDED CANNED
106,2,Leguminosas,8581905,FEIJOADA VEGETARIANA,Legumes,VEGETARIAN FEIJOADA
107,2,Leguminosas,7700202,PETIT POIS,Legumes,PETIT POIS
108,2,Leguminosas,6503603,CARNE VEGETAL,Legumes,VEGETABLE MEAT
109,2,Leguminosas,6301214,MANGALO,Legumes,MANGALO
110,3,Verduras,8511401,SALADA DE TOMATE,Vegetables,TOMATO SALAD
111,3,Verduras,8511101,SALADA DE FOLHAS,Vegetables,LEAF SALAD
112,3,Verduras,8508401,"SALADA OU VERDURA CRUA, EXCETO DE FRUTA",Vegetables,"SALAD OR RAW VEGETABLE, EXCEPT FROM FRUIT"
113,3,Verduras,8510601,"SALADA DE ALFACE, TOMATE E CEBOLA",Vegetables,"LETTUCE, TOMATO AND ONION SALAD"
114,3,Verduras,8500801,"SALADA OU VERDURA COZIDA, EXCETO DE FRUTA",Vegetables,"SALAD OR BAKED VEGETABLE, EXCEPT FROM FRUIT"
115,3,Verduras,6700101,ALFACE,Vegetables,LETTUCE
116,3,Verduras,6701901,CARURU,Vegetables,CARURU
117,3,Verduras,7079202,VINAGRETE,Vegetables,VINEGARTE
118,3,Verduras,8800109,PALMA,Vegetables,PALM
119,3,Verduras,6700501,COUVE,Vegetables,CABBAGE
120,3,Verduras,6700901,REPOLHO,Vegetables,CABBAGE
121,3,Verduras,6709701,OREGANO,Vegetables,OREGANO
122,3,Verduras,6701501,ACELGA,Vegetables,CHARD
123,3,Verduras,6401601,ACAFRAO,Vegetables,SAFFRON
124,3,Verduras,7002601,COENTRO,Vegetables,CORIANDER
125,3,Verduras,6702105,JAMBU,Vegetables,JAMBU
126,3,Verduras,7002304,HORTELA,Vegetables,MINT
127,3,Verduras,6702001,RUCULA,Vegetables,ARUGULA
128,3,Verduras,6701704,BROCOLIS,Vegetables,BROCCOLI
129,3,Verduras,6700601,COUVE FLOR,Vegetables,CAULIFLOWER
130,3,Verduras,6703101,BROTO DE FEIJAO,Vegetables,BEAN SPROUTS
131,3,Verduras,6701602,RADITE,Vegetables,RADITE
132,3,Verduras,6701601,ALMEIRAO,Vegetables,ALMEIRAO
133,3,Verduras,6701101,CEBOLINHA,Vegetables,CHIVE
134,3,Verduras,8511102,SALADA DE RUCULA E TOMATE SECO,Vegetables,RUCULA SALAD AND DRIED TOMATO
135,3,Verduras,6701301,AGRIAO,Vegetables,CRESS
136,3,Verduras,6706301,ALHO PORO,Vegetables,LEEK
137,3,Verduras,6700904,REPOLHO VERDE,Vegetables,GREEN CABBAGE
138,3,Verduras,6700301,CHICORIA,Vegetables,CHICORY
139,3,Verduras,6700304,ESCAROLA,Vegetables,SCHOOL
140,3,Verduras,6700701,ESPINAFRE,Vegetables,SPINACH
141,3,Verduras,6700801,MOSTARDA (VERDURA),Vegetables,MUSTARD (GREEN)
142,3,Verduras,6700903,REPOLHO ROXO,Vegetables,PURPLE CABBAGE
143,3,Verduras,6701401,TAIOBA,Vegetables,TAIOBA
144,3,Verduras,8510401,SALADA CAESER / CESAR / CISER / CEASER,Vegetables,SALES CAESER / CESAR / CISER / CEASER
145,3,Verduras,6707301,BROTO DE ALFAFA,Vegetables,ALPHAFA BROTH
146,3,Verduras,6710701,ORA-PRO-NOBIS,Vegetables,ORA-PRO-NOBIS
147,3,Verduras,6701906,CUXA,Vegetables,CUXA
148,3,Verduras,6701801,SERRALHA,Vegetables,MILKWEED
149,3,Verduras,6701907,VINAGREIRA,Vegetables,VINEGREIRA
150,3,Verduras,6709901,ASPARGOS FRESCO,Vegetables,FRESH ASPARAGUS
151,3,Verduras,7700902,CHUCRUTE,Vegetables,SAUERKRAUT
152,3,Verduras,8510501,SALADA DE AIPO COM MACA,Vegetables,CELERY SALAD WITH MACA
153,3,Verduras,6706001,NIRA,Vegetables,NIRA
154,3,Verduras,6700305,ENDIVIA,Vegetables,ENDIVE
155,3,Verduras,6701505,BETERRABA BRANCA (ACELGA),Vegetables,WHITE BEET (CHARD)
156,3,Verduras,6702701,COUVE CHINESA,Vegetables,CHINESE CABBAGE
157,3,Verduras,6701913,CARIRU,Vegetables,CARIRU
158,3,Verduras,6710101,MASTRUZ,Vegetables,MASTRUZ
159,3,Verduras,6700201,BERTALHA,Vegetables,BERTALHA
160,3,Verduras,6711001,VEGETAIS FOLHOSOS NAO ESPECIFICADOS,Vegetables,LEAFY VEGETABLES NOT SPECIFIED
161,3,Verduras,7700901,REPOLHO EM CONSERVA,Vegetables,STORAGE CABBAGE
162,3,Verduras,6711401,ALGAS,Vegetables,SEAWEED
163,3,Verduras,6702501,BREDO,Vegetables,BREDO
164,3,Verduras,6702201,LINGUA DE VACA (VERDURA),Vegetables,COW LANGUAGE (GREEN)
165,3,Verduras,6702604,SALSAO (AIPO),Vegetables,SALSAO (AIPO)
166,3,Verduras,6711201,ALCAPARRAS,Vegetables,HANDLEBARS
167,4,Legumes,8511701,SALADA DE LEGUMES E VERDURAS,Vegetables,SALAD OF VEGETABLES AND VEGETABLES
168,4,Legumes,6705401,BERINJELA / BERINGELA,Vegetables,EGGPLANT / EGGPLANT
169,4,Legumes,6703901,ABOBORA,Vegetables,PUMPKIN
170,4,Legumes,8511201,SALADA DE LEGUMES,Vegetables,VEGETABLE SALAD
171,4,Legumes,6401201,CENOURA,Vegetables,CARROT
172,4,Legumes,6705701,CEBOLA,Vegetables,ONION
173,4,Legumes,6705101,TOMATE,Vegetables,TOMATO
174,4,Legumes,6704001,PEPINO,Vegetables,CUCUMBER
175,4,Legumes,7703701,PEPINO EM CONSERVA,Vegetables,CONSERVED CUCUMBER
176,4,Legumes,6601805,PUPUNHA,Vegetables,PUPUNTA
177,4,Legumes,6704201,JILO,Vegetables,SCARLET EGGPLANT
178,4,Legumes,8579131,CREME DE CENOURA,Vegetables,CARROT CREAM
179,4,Legumes,6703805,JERIMUM,Vegetables,JERIMUM
180,4,Legumes,6703701,ABOBRINHA,Vegetables,ZUCCHINI
181,4,Legumes,6705301,COGUMELO IN NATURA,Vegetables,MUSHROOM IN NATURA
182,4,Legumes,7704001,PICLES,Vegetables,PICKLES
183,4,Legumes,6705201,VAGEM,Vegetables,POD
184,4,Legumes,6704601,PIMENTA MALAGUETA,Vegetables,CHILLI PEPPER
185,4,Legumes,6704101,CHUCHU,Vegetables,CHUCHU
186,4,Legumes,6705001,QUIABO,Vegetables,OKRA
187,4,Legumes,6704501,PIMENTAO,Vegetables,BELL PEPPER
188,4,Legumes,8506701,QUIBEBE,Vegetables,STEAMED PUMPKIN
189,4,Legumes,7700501,PALMITO EM CONSERVA,Vegetables,CONSERVED PALMIT
190,4,Legumes,7701101,LEGUME NAO ESPECIFICADO EM CONSERVA,Vegetables,VEGETABLE NOT SPECIFIED IN CONSERVE
191,4,Legumes,6703306,MORANGA,Vegetables,SQUASH
192,4,Legumes,7700601,COGUMELO EM CONSERVA,Vegetables,CONSERVED MUSHROOM
193,4,Legumes,6503502,PURE DE ABOBORA / JERIMUM / GERIMUM,Vegetables,PURE DE PUMPKIN / JERIMUM / GERIMUM
194,4,Legumes,6706201,ALHO,Vegetables,GARLIC
195,4,Legumes,6704301,MAXIXE,Vegetables,MAXIXE
196,4,Legumes,8578404,ABOBORA COM QUIABO,Vegetables,PUMPKIN WITH Okra
197,4,Legumes,8579244,REFOGADINHO DE LEGUMES,Vegetables,VEGETABLE SAUCE
198,4,Legumes,8580301,"SALADA DE LEGUMES, VERDURAS E FRUTAS",Vegetables,"SALAD OF VEGETABLES, VEGETABLES AND FRUITS"
199,4,Legumes,6704409,GUARIROBA (PALMITO IN NATURA),Vegetables,GUARIROBA (PALMITO IN NATURA)
200,4,Legumes,6704401,PALMITO IN NATURA,Vegetables,PALMITO IN NATURA
201,4,Legumes,6706102,SELETA (JARDINEIRA),Vegetables,SELETA (GARDENER)
202,4,Legumes,8579046,"BATATA, CENOURA E CHUCHU",Vegetables,"POTATO, CARROT AND CHUCHU"
203,4,Legumes,8579130,CREME DE ABOBORA COM CARNE,Vegetables,PUMPKIN CREAM WITH MEAT
204,4,Legumes,8579170,LEGUMES GRATINADOS,Vegetables,GRATIN VEGETABLES
205,4,Legumes,8579237,QUIBE VEGETARIANO,Vegetables,VEGETARIAN KEBAB
206,4,Legumes,6703707,CAXI,Vegetables,CAXI
207,4,Legumes,6711101,VEGETAIS NAO ESPECIFICADOS,Vegetables,VEGETABLES NOT SPECIFIED
208,4,Legumes,6704106,CHUCHU AO FORNO,Vegetables,CHUCHU TO THE OVEN
209,4,Legumes,7700602,CHAMPIGNON EM CONSERVA,Vegetables,CHAMPIGNON IN CONSERVE
210,4,Legumes,7080401,CONSERVA DE BERINJELA,Vegetables,PICKLED EGGPLANT
211,4,Legumes,8579136,ENSOPADINHO DE LEGUMES,Vegetables,VEGETABLE ENSOPADINHO
212,4,Legumes,8579243,RATATOUILLE,Vegetables,RATATOUILLE
213,4,Legumes,6704410,GUEROBA / GUEIROBA (PALMITO IN NATURA),Vegetables,GUEROBA / GUEIROBA (PALMITO IN NATURA)
214,4,Legumes,6704306,PEPININHO (MAXIXE),Vegetables,PEPININHO (MAXIXE)
215,4,Legumes,7705201,NABO EM CONSERVA,Vegetables,CANNED STRAWBERRY
216,4,Legumes,6705704,CEBOLA ROXA,Vegetables,PURPLE ONION
217,4,Legumes,8579092,CAPONATA DE BERINJELA,Vegetables,CAPONATA OF EGGPLANT
218,4,Legumes,8579137,JARDINEIRA DE LEGUMES,Vegetables,VEGETABLE GARDENER
219,4,Legumes,7010301,TOMATE SECO,Vegetables,DRY TOMATO
220,4,Legumes,8579282,TEMPURA LEGUMES,Vegetables,TEMPURA VEGETABLES
221,4,Legumes,6705601,CABACA,Vegetables,GOURD
222,4,Legumes,6706101,JARDINEIRA (SELETA),Vegetables,GARDENER (SELETA)
223,5,Raízes e tubérculos,6400802,BATATA (NAO ESPECIFICADA),Roots and tubers,POTATO (NOT SPECIFIED)
224,5,Raízes e tubérculos,6400401,BATATA DOCE,Roots and tubers,SWEET POTATO
225,5,Raízes e tubérculos,6400609,AIPIM,Roots and tubers,AIPIM
226,5,Raízes e tubérculos,6400101,BATATA INGLESA,Roots and tubers,ENGLISH POTATO
227,5,Raízes e tubérculos,6400701,CARA,Roots and tubers,FACE
228,5,Raízes e tubérculos,6400610,MACAXEIRA,Roots and tubers,MACAXEIRA
229,5,Raízes e tubérculos,6400601,MANDIOCA,Roots and tubers,MANIOC
230,5,Raízes e tubérculos,8501503,BATATA PALHA,Roots and tubers,SHOESTRING POTATOES
231,5,Raízes e tubérculos,6400501,INHAME,Roots and tubers,YAM
232,5,Raízes e tubérculos,6503501,PURE DE BATATA,Roots and tubers,MASHED POTATOES
233,5,Raízes e tubérculos,6401301,NABO,Roots and tubers,TURNIP
234,5,Raízes e tubérculos,8506605,PIRAO DE LEITE,Roots and tubers,MILK PIRAO
235,5,Raízes e tubérculos,6401101,BETERRABA,Roots and tubers,BEETROOT
236,5,Raízes e tubérculos,6480001,GENGIBRE,Roots and tubers,GINGER
237,5,Raízes e tubérculos,8506601,PIRAO,Roots and tubers,PIRÃO
238,5,Raízes e tubérculos,8501502,BATATA PALITO,Roots and tubers,FRENCH FRIES
239,5,Raízes e tubérculos,6400304,CENOURA AMARELA (BATATA BAROA),Roots and tubers,YELLOW CARROT (POTATO BAROA)
240,5,Raízes e tubérculos,8579045,BATATA SUICA / BATATA ROSTIE / ROSTI,Roots and tubers,SWEET POTATO / ROSTIE POTATO / ROSTI
241,5,Raízes e tubérculos,6400713,INHAME CARAQUENTO (CARA),Roots and tubers,INHAME CARAQUENTO (CARA)
242,5,Raízes e tubérculos,6401001,RABANETE,Roots and tubers,RADISH
243,5,Raízes e tubérculos,6400303,MANDIOQUINHA SALSA (BATATA BAROA),Roots and tubers,SALSA MANDIOQUINHA (POTATO BAROA)
244,5,Raízes e tubérculos,6400908,MANDIOQUINHA,Roots and tubers,MANDIOQUINHA
245,5,Raízes e tubérculos,6503503,PURE DE INHAME,Roots and tubers,MASHED YAMS FROM
246,5,Raízes e tubérculos,6503504,PURE DE MANDIOCA,Roots and tubers,PUREE OF CASSAVA
247,6,Frutas,6801801,"LARANJA (PERA, SELETA, LIMA, DA TERRA, ETC)",Fruit,"ORANGE (PEAR, SELETA, LIMA, EARTH, ETC)"
248,6,Frutas,6801001,BANANA DA TERRA,Fruit,BANANA OF THE EARTH
249,6,Frutas,6801101,"BANANA (OURO, PRATA, DAGUA, ETC)",Fruit,"BANANA (GOLD, SILVER, DAGUA, ETC)"
250,6,Frutas,6802601,ABACAXI,Fruit,PINEAPPLE
251,6,Frutas,6802701,ABACATE,Fruit,AVOCADO
252,6,Frutas,8507801,ACAI,Fruit,AÇAÍ
253,6,Frutas,8507802,ACAI COM GUARANA E GRANOLA,Fruit,ACAI WITH GUARANA AND GRANOLA
254,6,Frutas,6804301,AMEIXA,Fruit,PLUM
255,6,Frutas,6802801,CAQUI,Fruit,KHAKI
256,6,Frutas,6804201,GOIABA,Fruit,GUAVA
257,6,Frutas,6803101,MAMAO,Fruit,PAPAYA
258,6,Frutas,6803201,MANGA,Fruit,MANGO
259,6,Frutas,6803401,MELANCIA,Fruit,WATERMELON
260,6,Frutas,6803501,MELAO,Fruit,MELON
261,6,Frutas,6802202,MEXERICA,Fruit,TANGERINE
262,6,Frutas,6803701,PESSEGO,Fruit,PEACH
263,6,Frutas,8504401,SALADA DE FRUTAS,Fruit,FRUIT SALAD
264,6,Frutas,6803901,UVA,Fruit,GRAPE
265,6,Frutas,6803912,UVA PASSA,Fruit,PASS GRAPE
266,6,Frutas,6803001,MACA,Fruit,APPLE
267,6,Frutas,6803601,PERA,Fruit,PEAR
268,6,Frutas,6805401,ATEMOIA,Fruit,ATEMOIA
269,6,Frutas,6802217,BERGAMOTA,Fruit,BERGAMOTA
270,6,Frutas,6806902,CERIGUELA / SERIGUELA / SIRIGUELA,Fruit,CERIGUELA / SERIGUELA / SIRIGUELA
271,6,Frutas,6806901,CIRIGUELA,Fruit,CIRIGUELA
272,6,Frutas,6810501,CRANBERRY,Fruit,CRANBERRY
273,6,Frutas,6802901,FIGO,Fruit,FIG
274,6,Frutas,6804101,JACA,Fruit,JACA
275,6,Frutas,6807801,KIWI,Fruit,KIWI
276,6,Frutas,6810001,LICHIA,Fruit,LICHIA
277,6,Frutas,6805201,MORANGO,Fruit,STRAWBERRY
278,6,Frutas,6810901,TAMARA,Fruit,DATE
279,6,Frutas,6802201,TANGERINA,Fruit,TANGERINE
280,6,Frutas,6807101,UMBU,Fruit,UMBU
281,6,Frutas,6801002,BANANA-PACOVA,Fruit,BANANA-PACOVA
282,6,Frutas,6804401,CAJU,Fruit,CASHEW
283,6,Frutas,6803802,PINHA (FRUTA DE CONDE),Fruit,PINHA (FRUIT OF COUNT)
284,6,Frutas,6802501,CANA DE ACUCAR,Fruit,SUGAR CANE
285,6,Frutas,6800701,BANANA-ROXA,Fruit,PURPLE BANANA
286,6,Frutas,6805901,FRUTA PAO,Fruit,FRUIT PAO
287,6,Frutas,6807202,BIRIBA / BERIBA,Fruit,BIRIBA / BERIBA
288,6,Frutas,6902401,FRUTA SECA OU DESIDRATADA,Fruit,DRY OR DEHYDRATED FRUIT
289,6,Frutas,6805001,GRAVIOLA / JACA-DE-POBRE,Fruit,GRAVIOLA / JACA-DE-POBRE
290,6,Frutas,6804908,JABUTICABA / JABOTICABA,Fruit,JABUTICABA / JABOTICABA
291,6,Frutas,6802001,"LIMAO (COMUM, GALEGO, ETC)",Fruit,"LEMON (COMMON, GALEGO, ETC)"
292,6,Frutas,6803301,MARACUJA,Fruit,PASSION FRUIT
293,6,Frutas,6803108,PAPAIA,Fruit,PAPAYA
294,6,Frutas,6807701,ACEROLA,Fruit,ACEROLA
295,6,Frutas,6804203,ARACA ACU (GOIABA),Fruit,ARACA ACU (GUIABA)
296,6,Frutas,6811001,DAMASCO,Fruit,DAMASCUS
297,6,Frutas,6803801,FRUTA DE CONDE,Fruit,FRUIT OF COUNTY
298,6,Frutas,6801901,LIMA,Fruit,LIME
299,6,Frutas,6809901,AMORA,Fruit,BLACKBERRY
300,6,Frutas,6804801,CARAMBOLA,Fruit,STAR FRUIT
301,6,Frutas,6807501,MARI,Fruit,MARI
302,6,Frutas,6807001,MURICI,Fruit,MURICI
303,6,Frutas,6806101,UXI,Fruit,UXI
304,6,Frutas,6805301,JAMBO,Fruit,JAMBO
305,6,Frutas,6806301,CACAU (FRUTA),Fruit,COCOA (FRUIT)
306,6,Frutas,6806701,PEQUI,Fruit,SMALL
307,6,Frutas,6808201,JURUBEBA,Fruit,JURUBEBA
308,6,Frutas,6807401,NECTARINA,Fruit,NECTARINE
309,6,Frutas,6902402,PASSA,Fruit,GOES BY
310,6,Frutas,6803803,ATA,Fruit,ATA
311,6,Frutas,6808001,ABIU,Fruit,ABIU
312,6,Frutas,6806501,BACURI,Fruit,BACURI
313,6,Frutas,6804601,CAJA MANGA,Fruit,MANGO CAJA
314,6,Frutas,6806601,INGA,Fruit,INGA
315,6,Frutas,6602601,PATAUA,Fruit,PATAUA
316,6,Frutas,6806201,TAMARINDO,Fruit,TAMARIND
317,6,Frutas,6802223,TANJA,Fruit,TANJA
318,6,Frutas,6800901,BANANA-SAO-TOME,Fruit,BANANA-SAO-TOME
319,6,Frutas,6807301,CUPUACU,Fruit,CUPUACU
320,6,Frutas,6802218,MIMOSA,Fruit,MIMOSA
321,6,Frutas,6806401,PITOMBA,Fruit,PITOMBA
322,6,Frutas,6805701,ARACA,Fruit,ARRACK
323,6,Frutas,6806704,PIQUIA,Fruit,PIQUIA
324,6,Frutas,6804705,CAJA,Fruit,CAJA
325,6,Frutas,6804001,JENIPAPO,Fruit,JENIPAPO
326,6,Frutas,6805501,GROSELHA,Fruit,Gooseberry
327,6,Frutas,6805601,MANGABA,Fruit,MANGABA
328,6,Frutas,6806001,SAPOTI,Fruit,SAPOTI
