ingr_descr_eng,foodex2_ingr_code,ingr_code
"Cereal flakes, with chocolate",A0F4Q#F04.A0EQD,60400013
Cumin,A018E,150400017
"Cow, ox or bull fresh meat",A01QX,70202001
"Pig, leg",A01RG#F02.A07XQ,70204011
"Pig, trotter",A021G,70204024
"Cake ""cavacas""",A00AG#F28.A07HN,120100016
"Fish fingers, breaded",A02KC,80400012
"Wheat bread, wholemeal",A005E,60301030
Cooked pork ham,A023K,70500023
Canned pineapple in concentrated sweet liquid-syrup,A01PB#F06.A06XY,40200059
Processed cheese,A031A,50800007
Vinegar,A044L,150500005
Lettuces,A00KX,20200007
"Chocolate, powder",A03HH,110300013
"Wheat bread, roll",A004Y,60301010
Coffee espresso,A03KB,130401005
"Juice, 100% fruit, orange",A03AM,130200043
"Cucumbers, raw",A00JM,20300007
Nutmeg,A018J,150400023
"Chicken liver, raw",A01XZ,70600035
Dried pasta,A007L,60200059
"Other organs ""Moelas""",A020F,70600031
"Tea beverage, fruit infusion",A03LK,130403001
"Biscuits, craker",A005Y,120200016
"Bread, dark",A0BY0#F10.A0F2Y,60301033
Sugar,A032H,110200001
"Cola beverages, caffeinic",A03FR,130300023
Cooked pork ham,A023K,70500021
"Fresh mushrooms, raw",A0ETG,20600002
Pizza dough,A008J,60500004
Table olives ready for consumption,A01BQ,40400001
Mozzarella,A02QJ,50800026
"Water, non-carbonated, flavoured",A03DL#F04.A047B$F10.A077K,130500015
"Chocolate, tablet, like Kitkat",A034R#F04.A0BYR,110300027
Pig fat tissue,A01VA,70204022
Cooked turkey meat,A023T,70500024
"Cakes, with cream",A00AN#F28.A07MA,120100010
"Nectar, like ""Compal Essencial""",A03BB,130200044
"Bread, ""brioche"" type",A00BT,60301012
Wheat cereal bars,A00EY#F04.A001M,60400034
Mayonnaise sauce,A044X,150203004
"Canned tuna, in olive oil",A0FBT#F06.A06XK,80100003
Barley coffee infusion,A03KS,130404010
"Soft drink, pineapple, without gas",A03EQ,130300008
"Chicken, without skin, grilled",A01SP#F20.A07QR$F28.A07GZ,70302037
Pasta wholemeal,A04LC,60200003
Pineapples,A01LP,40200058
Table grapes,A01DX,40200043
Cake,A00AN,120100006
"Sweetener, artificial, powder",A046M#F03.A06JD,170301007
Doughnuts-berliner,A00BR,120100024
Cereal bars with chocolate,A00FA#F04.A0EQD,60400037
"Sweetener, artifical,",A046M,170301006
Peanut oil,A037A,100100004
Bacon,A022X,70500036
Cloves buds,A01AL,150400014
"Wine, red",A03MX,140200003
Powdered base for orange drink,A03CG#F27.A0DZB,130200002
Laminated dough,A009M,60500010
"Cheese, flamengo, 45% fat",A02SV#F10.A077B,50800033
"Cheese, parmesan",A02ZS,50800027
"Tea beverage, peppermint infusion",A16GQ,130403009
Coffee espresso,A03KB,130401011
"Cake ""Napoleão""",A00CC#F04.A032R$F04.A03HG$F28.A07MA$F28.A07LZ,120100008
"Crips, package, sliced",A0BYS#F18.A07NK,180100006
Bread with garlic,A0BY0#F04.A00GZ$F04.A039C,180200036
"Biscuits, maize",A009X#F04.A000S,120200024
Coffee beverage decaffeinated,A03KF,130401012
American persimmons,A01KF,40200077
Puffed rice textured bread,A006K,120200023
Short pastry dough with cooked ham and cheese,A005K#F04.A022T$F04.A02QE,180200032
Sunflower seeds,A015L,40300034
"Candy, fruit",A034X#F04.A06NQ,110400017
"Butter, without salt",A039C#F10.A0CQE,100200002
"Yoghurt drink, skimmed",A02NQ#F10.A077H,50600020
Milk with coffee,A03KG,999900337
"Turkey, breast without skin",A01SQ#F02.A07XS$F20.A07QR,70303005
"Chocolate spread, cocoa and hazelnuts",A0C6P#F04.A014L,110300015
Pancake,A00CL,120100043
Apple cake,A00BA#F04.A01DJ,999900340
Muesli,A00EJ,60400025
"Yoghurt, cow milk, plain, semi-skimmed, spoonable",A02NG#F03.A0CEE$F10.A077G,50600004
Basil,A00VV,150400005
"Nectar, mixed fruits",A03BL,130200019
"Wheat bread, wholemeal",A005E,60301006
Black tea beverage,A03LC,130402002
Cooked chicken meat,A023X#F27.A01SP,70500025
Plum,A01GQ,40200023
Pig fresh meat,A01RG,70204012
"Port, sweet",A03NL#F10.A0CQM,140300012
Pig fresh meat,A01RG,70204026
Pork lard,A037V,100400006
Cereal bars with dried fruit,A00FA#F04.A01MA,60400036
"Meat burger, turkey, raw",A04EC,70500066
White beer,A03MB#F10.A0F2R,140400003
"Tea beverage, lemon balm infusion",A03LG#F04.A00VT,130403007
"Cod, fresh, boiled",A02BV#F28.A07GL,80200018
Whole egg,A031F,90000002
"Vegetal cream, spreadable",A039E,100300008
"French beans (with pods), fresh, raw",A00PG,20700008
"Chicken, leg",A01SP#F02.A07XQ,70302006
Marmalade,A0FDH,110200024
"Hen egg white, raw",A031T,90000004
"Mackerel, boiled",A02CN#F28.A07GL,80200073
"Aubergines, raw",A00JD,20300014
"Cow, steak, average value of chuck, rump and sirloin, grilled",A01QX#F03.A06JA$F28.A07GZ,70202044
Pig fresh meat,A01RG,70204016
"Chorizo, pork meat, full fat",A025C#F04.A01RG$F10.A077A,70500006
"Lima beans, raw",A013A,30100003
Cured pork fat,A01VA#F10.A0CJK,70204023
"Margarine, 80% fat, with salt",A039D#F04.A042P$F07.A076B,100300005
Granate apples,A01LH,40200068
Salted cod,A0FCB#F28.A07MS,80200017
Sponge cake,A00AQ,999900055
Rye bread,A005F,60301019
Sesame seeds,A015K,40300033
Bread,A0BY0,60301001
Ice cream,A02PZ,51101001
"Salmon, raw",A0C75,80200025
"Juice, lemon, squeezed",A03AH,130200033
Cooked pork ham,A023K,70500020
Coffee (weak strenght) beverage,A03KD,130401007
"Doughnut, covered with sugar",A00BR#F28.A07HN,120100025
"Chicken, leg with skin, roasted, without sauce",A01SP#F02.A07XQ$F20.A07QQ$F28.A07GY,70302048
"Biscuits, wheat wholemeal",A00AA,120200041
"Oregano, dry",A016T#F27.A00XV,150400026
"Chicken, breast without skin",A01SP#F02.A07XS$F20.A07QR,70302004
Cheese curd,A0CRN,50700001
"Meat burger, cow, raw",A049S,70500015
Tangerines,A01CH,40200051
"Cow, ox or bull fresh meat",A01QX,70202020
Wheat rusk,A006M#F04.A003X,60302003
"Sugar, moscovado, dark",A032M#F10.A0F2Y,110200006
"Cow, ox or bull fresh meat",A01QX,70202012
Sweet potatoes,A010C,10100003
"Rapini, turnip boiled",A00FL#F01.A05FC$F28.A07GL,20200018
"Cow, low fat",A01QX#F10.A077C,70202004
Fruit jelly,A16FC,110200022
"Biscuits, rich in fiber",A009V#F09.A0EVR,120200035
"Apples, baked",A01DJ#F10.A077K$F28.A07GY,40200004
"Brussels sprouts, raw",A00FV,20500014
Kidney bean,A012V,30100009
"Yoghurt drink, skimmed,with added sugar",A02NQ#F08.A032H$F10.A077H,50600021
"Wheat bread, roll",A004Y,60301029
"Bread, wholemeal",A0BY0#F10.A06HR,60301034
"Yoghurt, cow milk, semi-skimmed, spoonable, with added sugar",A02NF#F03.A0CEE$F08.A032H$F10.A077G,50600013
"Sweet peppers, grilled",A00JA#F28.A07GZ,20300010
"Sardine, full fat, raw",A02DB#F10.A077A,80200038
"Chestnuts, without husks",A014J#F20.A07QZ,40300016
Vegetable oil,A036N,100100002
"Mackerel, grilled",A02CN#F28.A07GZ,80200067
"Stock cubes for broth, chicken",A043G,150500028
"Hen eggs, fried with olive oil",A032C#F04.A036P,90000014
"Rapini, kale boiled",A00FL#F01.A05BM$F28.A07GL,20200017
"Portuguese soft-ripened sheep cheese, ""Serra""",A02RH#F27.A02MC,50800035
"Biscuits, craker",A005Y,120200015
Milk with decaffeinated,A03KF,999900339
"Iron, tabs or capsules",A03SM#F04.A0EXD$F03.A06JH,200202503
"Hen egg, pasteurised, liquid",A031R#F28.A07HV,90000007
Breadcrumbs,A007A,60302008
"Rabbit, meat",A01RQ,70208009
Barley rolled grains,A00DA,60100031
"Tea beverage, camomile infusion",A03LH,130403006
"Hen eggs, fried with margarine",A032C#F04.A0F1G,90000013
Barley flour,A002L,60100018
"Follow-on formula, Aptamil 2, Aptamil, reconstituted",A03QR,999900071
"Apples, boiled",A01DJ#F10.A077K$F28.A07GL,40200002
"Pears, boiled",A01DP#F28.A07GL,40200006
Human milk,A02MJ,50200014
"Cow milk, lactose free",A02LV#F10.A0CQD,50200015
"Wheat cereal flakes with honey, ""Nestum"" type",A00EF#F04.A033J,60400019
"Cereals for infants and young children, reconstituted",A0BZF,999900170
Soya yoghurt,A03TV,50400004
"Follow-on formula, milk-based, powder, organic",A03QL#F21.A07SE,50501027
"Wheat bread, roll",A004Y,60301048
"Cereals Dia, milk flour, reconstituted with water",A0BZF,999900199
Cake with fruit,A00BA,999900029
"Follow-on formula, Regular, Growth, reconstituted",A03QQ,999900083
Hakes,A02CB,80200140
"Non-fermented tea, infusion",A03LD,130402004
"Sardine, full fat, grilled",A02DB#F10.A077A$F28.A07GZ,80200040
Melons,A00KF,40200053
Chocolate cake,A00BG,999900031
"Mussel, raw",A0FCY,80300014
"Yoghurt drink, semi-skimmed",A02NQ#F10.A077G,50600023
"Canned tuna, in water",A0FBT#F06.A06YG,80100004
Wheat cereal flakes,A00EF,60400017
"Juice, 100% fruit, orange",A03AM,130200031
Sausage,A024F,70500026
"Hen eggs, fried with butter",A032C#F04.A039C,90000012
Tomato sauce,A044C,150202002
"Watercresses, raw",A00ND,20200020
Short pastry dough with cooked ham,A005K#F04.A022T,180200033
"Nectar, mixed fruits",A03BL,130200017
"Sausage, fresh, raw",A024G,70500028
"Cow milk, skimmed",A02MA,50200004
Cappuccino drink,A03KH,130404012
Pig fresh meat,A01RG,70204015
"White beer, alcohol-free",A03MB#F10.A0C0V$F10.A0F2R,130100006
"Juice, 100% fruit, pineapple and grape",A03AP#F27.A01DX$F27.A01LP,130200039
"Biscuits, oat meal",A00AB,120200018
Shortcrust,A00BV,60500009
"Minteral water, noncarbonated",A03DR,130500006
"Biscuits, rich in fiber",A009V#F09.A0EVR,120200033
"Nectar, light, multrifruits",A03BL#F10.A0CRG,130200028
"Wine, red",A03MX,140200002
"Wreckfish, grilled",A0FAS#F28.A07GZ,80200071
Mortadella-type sausage,A025Q,70500057
"Rabbit, stewed with olive oil",A01RQ#F04.A036P$F28.A07GM,70208008
Brandy,A03PE,140500002
"Southern hake, fried",A02CB#F01.A08X5$F28.A07GS,80200117
"Potatoes, baked",A00ZT#F28.A07GY,10200005
"Yoghurt, cow milk, skimmed, spoonable",A02NF#F03.A0CEE$F10.A077H,50600005
"Rapini, turnip raw",A00FL#F01.A05FC,20200016
"Wine, white",A03MV,140200007
Sparkling wine,A03MZ,140200013
"Shrimp, raw",A02GB,80300019
"Nectar, light, mango and orange",A03BL#F04.A01LF$F04.A01CR$F10.A0CRG,130200022
Yoghurt cake,A00AQ#F04.A02NE,999900047
"Gilthead seabream, grilled",A0FAR#F28.A07GZ,80200079
Cabbages,A00KR#F01.A05AR,20500001
"Cinnamon, ground",A019V#F28.A07LA,150400012
Dried pasta,A007L,60200038
"Hen egg yolk, raw",A031S,90000005
Lemon peel,A01QE#F01.A05VY,40100001
White pepper,A019B,150500014
Bitter chocolate,A034G,110300007
"Rabbit, stewed",A01RQ#F28.A07GM,70208006
Linseeds,A015G,40300030
Chia seeds,A16FZ,40300036
Oat rolled grains,A00DH,60100035
Tree nuts,A014C,40300007
"Canned sardine, in olive oil, drained",A0FBZ#F06.A06XK$F20.A0F2X,80100010
Oat cereal flakes,A00DN,60400031
Gojiberry,A00JH,40200080
"Mackerel, fried",A02CN#F28.A07GS,80200068
"Milk cream, Creme Brulee",A02PX#F08.A032H$F28.A07HJ,50900003
Chorizo and similar,A025C,70500061
"Pig, leg, low fat, raw",A01RG#F02.A07XQ$F10.A077C,70204029
Pig other slaughtering products,A021A,70600032
Chorizo and similar,A025C,70500058
"Red cabbages, raw",A00GA,20500002
Coffee imitate beverages,A03KL,130404009
"Hen eggs, fried",A032C,90000015
Potato puree from flakes or powder,A011D,10200008
"Biscuits, chocolate",A009Z,120200027
Pancake,A00CL,120100021
Butter biscuits,A009Y,120200039
"Squid, raw",A02JH,80300028
"Rye bread, wholemeal",A005H,60301020
"Yoghurt drink, skimmed, with artificial sweeteners",A02NQ#F08.A046M$F10.A077H,50600022
Chives,A00XD,20800004
Salad dressing,A045K,150203003
"Soft drink, like Seven-Up",A03FX#F04.A06QH$F04.A06QE$F28.A07JN,130300027
Watermelons,A00KJ,40200055
Butter,A039C,100200004
Milk with coffee,A03KG,999900338
Juice,A0BX9,130200046
Fat,A0F3D#F26.A07XD,100000001
Calf fresh meat,A01QY,70203023
Mustard,A044G,150500010
Cheese,A02QE,50800001
"Bread, sandwiche type",A0BB2,60301015
"Biscuits, sweet, plain",A009X,120200040
Instant coffee,A03KE,130401004
"Maize cereal flakes, ""Corn flakes"" type",A00DD,60400016
"Biscuits, like Marinheiras",A005Y#F04.A036P,120200047
Calf fresh meat,A01QY,70203018
"Sole, grilled",A02AT#F28.A07GZ,80200091
Cocoa powder,A03HG,110300001
Yoghurt drink,A02NQ,50600030
Golden redfish,A02AN,80200063
Multigrain bread,A005L,60301053
"Blood, clotted",A0F1T#F28.A07LP,70201002
Mango mousse,A02PV#F04.A01LF,50900009
"Tea beverage, lemon infusion",A03LG#F04.A01BY,130403015
"Cow liver, fried, without sauce",A01XG#F28.A07GS,70600022
Ricotta,A02QL,50700010
Papayas,A01LG,40200063
"Soya drink, milk imitate",A03TJ,50400006
"Sweetener, artifical, liquid",A046M#F03.A06JL,170301011
Cereal bars,A00EY,60400033
Sauce for sandwiches,A043V,150203009
"Lamb, shop or leg, grilled",A01RK#F28.A07GZ,70205025
"Sweetener, artificial, tablet",A046M#F03.A06JH,170301009
Pita bread,A006S,60301040
Neon flying squid,A02JH#F01.A127P,80300034
Port,A03NL,140300011
Wheat flour white,A003Y,60100006
"Minteral water, carbonated, lemon",A03DY#F04.A06QE$F28.A07JN,130500009
"Vegetal cream, with salt",A039D#F10.A0CJK,100300020
Cinnamon bark,A019V,150400013
Sponge cake,A00AQ,999900321
"Magnesium, tabs or capsules",A03SM#F04.A0EXF$F03.A06JH,200202003
"Alpha-Lipoic acid, soft capsule",A03SV#F03.A0CED,200205501
"Puff pastry, sweet with filling",A00CC#F28.A07MA,120100052
"Southern hake, raw",A02CB#F01.A08X5,80200115
Common peaches,A01GM,40200018
"Soft drink, mango, without gas",A03EH,130300012
Pigeon,A01TA,70400007
"Soft drink, blackcurrant, without gas",A03ED,130300017
Unbottled water,A04PV,130500017
"Dried chickpeas, boiled",A013M#F28.A07MS$F28.A07GL,30100026
Cod,A0FCB#F28.A07MS,80200015
Mirabelles,A01GS,40200022
Fish paste or surimi,A02KE,80400008
Wheat bread,A004X,60301050
"Soft drink, lemon, without gas",A03EA#F04.A01BY,130300030
"Sardine, half fat, raw",A02DB#F10.A077B,80200039
"Soft drink, flavoured, with gas",A03EX#F28.A07JN,130300004
Maize bread,A0BY0#F04.A000S,60301044
"Cow, ox or bull fresh meat",A01QX,70202008
"Filtered water, public water supply",A03DN,130500013
Mixed coffee imitates infusion with coffee,A03KX#F04.A03KC,130404008
Bread,A0BY0,60301043
"Mixed coffee imitates, powder, with coffee",A03HD#F04.A03GQ,130404006
Strawberries,A01EA,40200032
"Ice cream, milk-based",A02QA,51101002
"Wine, rosé",A03MY,140200009
Dried pasta,A007L,60200006
"Sauce, bechamel",A043X,190100002
"Mixed alcoholic drink ""Receita""",A03PR,140100006
"Fruit cake ""Bolo-Rei""",A00BA#F04.A01PS$F04.A014C,120100009
Hakes,A02CB,80200111
"Thyme, dry",A017Q#F28.A07LA,150400035
"Stock cubes for broth, beef",A043H,150500027
Canned peach in concentrated sweet liquid-syrup,A01NY#F06.A06XY,40200019
"Soft drink, orange, with gas",A03EL#F28.A07JN,130300005
Pig fresh meat,A01RG,70204085
Multigrain bread,A005L,60301054
"Jam, raspberries",A01MP,110200015
"Chocolate, powder",A03HH,110300012
Sweet corn canned,A00ZP,20700003
"Brussels sprouts, boiled",A00FV#F28.A07GL,20500015
Couscous,A008C,60200055
"Cake ""Pastel de Nata""",A00AN#F04.A02ML,120100048
"Cola beverages, caffeinic, sugar free",A03FR#F10.A077L,130300042
Breadsticks,A00FG,60302007
"Biscuits, cream craker without salt",A005Y#F10.A0CQE,120200017
"Tradicional sauce: ""Francesinha"" sauce",A044C,999900042
Chili peppers,A00JB,20300011
"Linguica, sausage",A025D,70500062
"Cow, steak, average value of chuck, rump and loin, raw",A01QX#F03.A06JA,70202009
"Table olives ready for consumption, green",A01BQ#F10.A0F2Q,40400002
Champagne,A03NA,140200010
Coconut cake,A00AQ#F04.A014K,999900032
"Canned sardine, in tomato sauce",A0FBZ#F04.A044C$F06.A06XR,80100015
Coffee espresso,A03KB,130401015
Canned tuna,A0FBT,80100001
Pig fresh meat,A01RG,70204017
Picles,A045Y,20100007
Blood-type sausage,A025S,70500013
"Pig liver, raw",A01XJ,70600016
"Portguese sausage ""Farinheira"", raw",A025H#F04.A003X$F04.A01VA$F28.A07JV,70500051
Pig fresh meat,A01RG,70204014
"Sauce, tomato, ketchup",A044P,150202001
"Processed cheese, 40% fat",A031A#F07.A074F,50800008
"Cucumbers, pickles",A00ZJ#F27.A00JM,20300032
"Bread, sandwiche type",A0BB2,60301014
"Oat drink, milk imitate",A03TL,50400003
"Soft drink, flavoured, with gas",A03EX#F28.A07JN,130300003
Cheese,A02QE,50800046
Gilthead seabream,A0FAR,80200077
Aromatic herbs,A04MA,150400002
Milk chocolate,A034J,110300005
"Chocolate cow milk, semi-skimmed",A02MP#F04.A0EQD$F10.A077G,50200027
"Canned mushrooms, drained",A00TZ,20600003
"Ice cream, stick, ""Magnum Almond"" tipe, with chocolate and tree nuts cover",A02QA#F04.A034M$F04.A014D,51101013
Paprika powder,A019L,150400028
"Ice cream, ""Mcflurry"" type",A02QA#F03.A0CEE$F04.A02ML,51101027
Biscuit filled with chocolate,A00AE#F04.A034Q,120200031
"Biscuits, craker",A005Y,120200045
"Yoghurt, cow milk, plain, skimmed, spoonable",A02NG#F03.A0CEE$F10.A077H,50600003
"Rocket, rucola",A00LN,20200022
"Biscuits, like BelvitaProalimentar with filling",A00AE#F09.A0EXY$F09.A0EXL$F09.A0EXD$F09.A0EXF,120200043
"Ice cream, wafer cone",A02QA#F04.A009X,51101019
Probiotic milk-like drinks,A02NR,50600026
"Sauce, vinagrete",A045K#F04.A044L$F04.A036N,150203001
Raspberries (red and yellow),A01EN,40200035
"Hen eggs, boiled",A032B,90000010
English sauce,A0EZD,150500002
Baking yeast,A049A,150300002
"Bovine tongue, raw",A020S,70600027
Gut,A020R,70600029
"Cow for boiling or stewing, half fat, raw",A01QX#F10.A077B,70202005
"Pig, loin, fried",A01RG#F28.A07GS,70204054
Smoked pork ham,A022T#F28.A07JV,70500060
"Minteral water, carbonated",A03DS,130500012
Soy sauce,A044R,150500003
Wasabi,A0CHH,150203013
"Green algae, dried",A00VH,20200023
Pastry based on laminated dough,A00CC,120200008
Sauce for stewed veal,A044B,999900343
Milk and eggs pudding,A02PV#F04.A02LV$F04.A031G,50900013
Sparkling wine,A03MZ,140200020
Alcoholic sauce,A16BS#F04.A03PF$F04.A03MB$F04.A00HC$F04.A025C,999900020
Cakes,A00AN,999900004
Carrot cake,A00AQ#F04.A00QH,999900046
Rosemary,A00YF,150400040
Chestnuts,A014J,40300041
"Sugar, yellow",A032M,110200009
"Cake, like Bollycao",A00BL#F04.A03HG$F04.A014L$F10.A077J$F04.A001M,120100028
Muffin,A00BC,120100057
Stout beer,A03ML,140400002
Seitan,A03TE#F04.A001M,70700027
Black peas,A013C,30100008
"Sausage, soy",A03TF#F02.A06AS,70700011
"Yoghurt, cow milk, spoonable creamy, semi-skimmed,with added sugar and fruit pieces",A02NH#F03.A0CEE$F08.A032H$F04.A04RK$F10.A077G,50600032
White table grapes,A01DX#F10.A0F2R,40200042
"Chocolate, like Ferrero Rocher",A034Q#F04.A014L,110300020
"French beans (with pods), fresh, boiled",A00PG#F28.A07GL,20700011
"Soft drink, without gas",A0EQN,130300001
Edible crab,A0FCP,80300031
"Duck, with skin",A01SR#F20.A07QQ,70304001
Goat cheese,A02YE#F27.A02MB,50800042
"Beetroots, raw",A00QG,20400002
"Dried lentils, raw",A013Q,30100015
"Iron, liquid",A03SM#F04.A0EXD$F03.A06JL,200202502
"Multivitamins supplement, liquid",A03SL#F03.A06JL,200203102
Linseed oil,A037G,100100011
"Infant cereals, milk-based ""Organic Spelt, >4 months, Holle""",A03QY#F27.A001R$F09.A0EXY,60604011
"Multivitamins supplement, drops",A03SL#F03.A06JL,200203107
"Iron, drops",A03SM#F04.A0EXD$F03.A06JL,200202506
"Infant cereals, non milk-based, ""+4 months, Nutriben"" for baby bottle",A03QY#F27.A000T$F08.A032H$F04.A0BSL$F04.A06VT$F09.A0EXH$F09.A0EXG$F09.A0EXN$F09.A0EXV$F09.A0EXL$F09.A0EXT$F09.A0EXY$F09.A0EXS$F09.A0EXZ$F09.A0EXQ$F09.A0EXK$F09.A0EXR$F09.A0EXM,60603005
"Infant formula, Aptamil 1 com Pronutra+, Aptamil, reconstituted",A03QF,999900060
